first_name,last_name,gender,age,education,marital_status,occupation_group,credit_score,address,city,state,home_build_year
Brian,Thomas,Male,39,Some College,Married,Management,502,527 Ronald Loop,Pensacola,FL,1986
Malcolm,Ryan,Male,76,HS Diploma,Married,Retired,379,91598 Victoria Inlet Suite 556,Panama city,FL,1971
Matthew,Brooks,Male,47,Grad Degree,Married,Professional,458,86685 Lynn Gardens,Gulf breeze,FL,2007
Tommy,Harris,Male,69,Grad Degree,Married,Professional,621,37686 Thomas Bypass,Fort walton beach,FL,1999
Ronald,Hurst,Male,52,Some College,Married,Blue Collar,349,2138 Whitehead Valleys Apt. 889,Pensacola,FL,1982
Kylee,Sullivan,Female,23,Some College,Married,Other,566,51292 Wolfe Light Suite 812,Panama city,FL,2015
Jerry,Davis,Male,65,Some College,Married,Retired,390,34035 Scott Causeway,Lynn haven,FL,1991
Twalette,Diaz,NA,46,Some College,Married,Other,740,1359 James Rapid Suite 745,Pensacola,FL,1981
John,Odonnell,Male,58,HS Diploma,Married,Blue Collar,827,05595 Ray Crescent,Fort walton beach,FL,1989
Jimmy,Avery,Male,75,HS Diploma,Married,Retired,540,0704 Brown Bridge,Panama city,FL,1974
Janie,Hernandez,Female,64,Grad Degree,Married,Office Administration,560,337 Stephen Ranch Apt. 643,Destin,FL,2022
Wayne,Brown,Male,55,Grad Degree,NA,Blue Collar,447,0014 Reyes Row Suite 378,Panama city beach,FL,1997
Joshua,Guzman,Male,36,Some College,Married,Technical,479,528 Sergio Cliff Apt. 297,Gulf breeze,FL,2006
John,Boyd,Male,41,Some College,NA,Sales,431,85915 Norris Circles,Mary esther,FL,1994
Donald,Rodriguez,Male,87,Some College,Married,Retired,817,2916 Conner Route Apt. 822,Pensacola,FL,2014
Christopher,Hughes,Male,47,Bach Degree,Married,Management,531,0888 Cook Shores,Destin,FL,2009
Luke,Graves,Male,20,Some College,Married,Sales,520,2654 Jay Cove Suite 548,Pensacola,FL,1992
Gerard,Case,Male,54,Grad Degree,Married,Blue Collar,323,01555 Julian Tunnel Suite 091,Pensacola,FL,2023
Daniel,Martin,Male,49,HS Diploma,Married,Blue Collar,712,541 Richards Greens,Crestview,FL,2013
Amos,Taylor,Male,63,HS Diploma,Married,Blue Collar,841,332 Alvarado Underpass,Pensacola,FL,1993
Gregory,Hoover,Male,34,Grad Degree,Married,Technical,545,04880 Mary Estates,Crestview,FL,1973
Robert,Henderson,Male,81,Less than HS Diploma,NA,Management,711,1120 Davis Dale,Pensacola,FL,1999
Norman,Evans,Male,32,Bach Degree,Married,Blue Collar,577,749 Sheila Mission Apt. 465,Pensacola,FL,1998
Timothy,Mack,Male,56,HS Diploma,Married,Blue Collar,506,29559 Charles Village,Milton,FL,1991
Peter,Levine,Male,67,Grad Degree,Married,Retired,555,6422 Harper Creek,Navarre,FL,1981
Patsy,Clark,Female,81,HS Diploma,Married,Retired,642,217 Lawson Track Suite 338,Pensacola,FL,2012
Diane,Campos,Female,68,Bach Degree,Married,Office Administration,605,9388 Joshua Ville Suite 528,Cantonment,FL,1990
Jennifer,Patrick,Female,54,Some College,Married,Professional,368,237 Proctor Parkway,Lynn haven,FL,2001
Yolli,Reyes,Female,56,HS Diploma,Married,Retired,837,29228 Kathryn Dale Apt. 725,Navarre,FL,1985
Ollie,Carrillo,Male,80,Less than HS Diploma,Married,Retired,788,921 Robert Overpass Apt. 098,Ponce de leon,FL,1988
Anita,Wyatt,Female,63,Less than HS Diploma,NA,Office Administration,416,736 Miller Estate,Panama city,FL,1975
Lisa,Duran,Female,52,Grad Degree,NA,Farmer,794,3964 Melanie Plains,Panama city,FL,2006
William,Rivera,Male,68,HS Diploma,Married,Other,317,629 William Point,Mary esther,FL,2010
Mike,Kramer,Male,63,Grad Degree,Married,Management,745,733 Duane Loop Suite 748,Miramar beach,FL,2011
Theodore,Sullivan,Male,63,Grad Degree,Married,Management,310,745 Hall Meadows,Niceville,FL,1974
William,Cardenas,Male,71,HS Diploma,Married,Retired,714,241 Stout Plains Apt. 385,Milton,FL,1984
Lawrence,Hart,Male,59,Some College,Married,Management,485,180 Kelli Trace Suite 734,Pensacola,FL,2019
Philip,Gentry,Male,19,Some College,Married,Sales,444,315 Steven Overpass,Milton,FL,1986
Kyra,Ball,Female,19,Some College,Single,Office Administration,445,19333 Jennifer Loop,Navarre,FL,1999
Gary,Roberts,Male,56,Grad Degree,Married,Sales,785,0496 Jimenez Mountains Suite 690,Pensacola,FL,2007
Mark,Anderson,Male,32,Some College,Married,Management,314,05132 Jones Fork Suite 288,Navarre,FL,1983
Trenton,Todd,Male,27,Some College,Married,Blue Collar,747,05136 Bell Plains,Navarre,FL,1990
Richard,Hernandez,Male,57,Some College,Married,Management,407,16865 Davis Street Apt. 877,Gulf breeze,FL,2011
Michelle,Cox,Female,51,Bach Degree,Married,Professional,731,1564 Williams Run Suite 971,Pensacola,FL,1972
Mae,Brewer,Female,59,HS Diploma,NA,Management,375,2231 Lucas Ferry,Panama city,FL,1971
Andrea,Moore,Female,32,Grad Degree,Married,Other,361,539 Potter Prairie Apt. 678,Mary esther,FL,2018
Katrina,Jackson,Female,84,HS Diploma,NA,Other,834,229 Heather Passage,Pensacola,FL,1994
Rayfield,Jackson,Male,39,Bach Degree,Married,Blue Collar,753,68027 Jessica Village Apt. 474,Panama city,FL,1976
Robert,Stone,Male,68,Some College,Married,Retired,351,64022 Karen Inlet Suite 422,Panama city,FL,1994
Dianne,Meyer,Female,76,HS Diploma,NA,Retired,764,416 Brittney Keys,Lynn haven,FL,1993
Charles,Bradley,Male,69,HS Diploma,Married,Retired,717,8004 Michelle Terrace,Milton,FL,1980
Stephen,Cohen,Male,48,Some College,Married,Blue Collar,519,2009 Jon Streets,Milton,FL,1991
John,Molina,Male,63,HS Diploma,Married,Blue Collar,747,763 David Mountains,Pensacola,FL,1981
Jerry,Hernandez,Male,56,Some College,Married,Management,619,18489 Campbell Pines Apt. 235,Lynn haven,FL,1983
Debra,Rodriguez,Female,40,Some College,Married,Other,679,9214 Coleman Via,Fort walton beach,FL,2003
Tanner,Fleming,Male,35,Some College,Married,Blue Collar,686,4225 Anthony Station,Molino,FL,1985
Latasha,Levy,Female,34,Bach Degree,Married,Professional,788,1700 Kristina Turnpike,Crestview,FL,2022
Christopher,Rodriguez,Male,37,Some College,Single,Professional,734,17744 Kim Land Suite 508,Milton,FL,2022
Jerry,Smith,Male,61,Bach Degree,Married,Management,404,46618 Anderson Keys Apt. 296,Pensacola,FL,1990
Toni,Baxter,Female,46,Some College,Married,Other,782,4164 Wilson Plaza Apt. 861,Pensacola,FL,2005
Brand,Collins,Male,64,Bach Degree,Married,Professional,644,534 Phillips Summit Suite 609,Milton,FL,2021
Robert,Wright,Male,55,Some College,Married,Other,552,7654 Pugh Lights Suite 851,Panama city,FL,2017
Virginia,Stevens,Female,81,Some College,NA,Retired,697,9132 Haynes Grove Suite 041,Marietta,GA,1987
William,Tucker,Male,77,Less than HS Diploma,Married,Retired,782,91785 Gregory Plains Suite 077,Pensacola,FL,1985
Michael,Long,Male,103,HS Diploma,Married,Blue Collar,649,535 Hines Shoal,Cantonment,FL,2002
Jerry,Sullivan,Male,54,Some College,Married,Management,819,658 Sarah Forges Suite 865,Cantonment,FL,2008
Donald,Carroll,Male,60,HS Diploma,Married,Technical,346,0316 Bradshaw Garden,Navarre,FL,2020
Freddie,Phillips,Male,71,Less than HS Diploma,Married,Other,488,725 Hicks Passage Suite 833,Shalimar,FL,2023
David,Rodriguez,Male,29,HS Diploma,Single,Blue Collar,823,78350 Jason Spring,Fort walton beach,FL,1974
Daniel,Lucas,Male,78,Some College,Married,Retired,361,95391 Johnston Hills Apt. 426,Milton,FL,2000
Keith,Yang,Male,52,HS Diploma,Married,Blue Collar,708,2995 Reyes Ways Apt. 516,Panama city,FL,1984
Barry,Franklin,Male,56,HS Diploma,NA,Blue Collar,589,649 Mary Causeway Suite 332,Milton,FL,1980
April,Brooks,Female,51,Grad Degree,NA,Office Administration,637,4155 Barnes Brook Suite 117,Milton,FL,2023
Joseph,Anderson,Male,37,Some College,Married,Other,671,0095 Johnson Fall,Pensacola,FL,1991
Gary,Nelson,Male,62,Some College,Married,Sales,410,95863 Patricia Tunnel,Milton,FL,1981
Chip,Barrera,Male,49,Some College,Married,Management,516,8960 Michael Ridges,Destin,FL,1988
Michael,Peters,Male,63,Bach Degree,Married,Management,758,76411 Mario Bridge,Pensacola,FL,2011
Austin,Berry,Male,42,Bach Degree,Married,Management,716,393 Collins Course,Pensacola,FL,1972
Harry,Mclaughlin,Male,26,Grad Degree,Married,Blue Collar,603,5075 Edwin Knolls,Panama city,FL,2005
Marjorie,Martin,Female,64,HS Diploma,Married,Office Administration,348,88361 Reese Glens,Milton,FL,1980
James,Fuentes,Male,57,HS Diploma,Single,Blue Collar,689,99047 Harris Parkways,Pensacola,FL,1990
Frank,Morgan,Male,49,Some College,Married,Blue Collar,599,0856 Jessica Light Suite 895,Pensacola,FL,1998
Paul,Simpson,Male,56,Some College,Single,Professional,587,9763 Armstrong Lodge,Gulf breeze,FL,2000
George,Barrett,Male,72,HS Diploma,Married,Other,356,0293 Hall Burg,Panama city,FL,1987
Benjamin,Schmitt,Male,33,Bach Degree,Married,Blue Collar,307,73450 Marshall Crest,Milton,FL,2002
Edward,White,Male,50,Grad Degree,Married,Other,369,149 Alvarado Causeway,Pensacola,FL,2008
Jennifer,Foster,Female,40,HS Diploma,Married,Technical,660,026 Christina Plain Suite 534,Pensacola,FL,1970
Thomas,Price,Male,58,Bach Degree,Married,Blue Collar,407,044 Amy Passage,Lynn haven,FL,2019
Michael,Graham,Male,35,Some College,Married,Blue Collar,487,97953 William Street,Crestview,FL,1977
John,Mcdaniel,Male,39,Bach Degree,Married,Management,702,33663 Martin Divide,Pensacola,FL,2007
Thomas,Green,Male,61,HS Diploma,NA,Management,316,038 Valerie Forks,Pensacola,FL,2011
Daniel,Hernandez,Male,48,Some College,Married,Management,668,1944 Derrick Run,Crestview,FL,1970
Jesse,Perez,Male,33,Some College,Single,Other,376,554 Lowe Fields,Panama city,FL,2021
Yul,Haley,Male,42,Some College,Married,Blue Collar,812,910 Douglas Hills,Pensacola,FL,1998
Joe,Hines,Male,74,Bach Degree,Married,Sales,738,536 Odom Forks Apt. 248,Panama city,FL,2010
William,Mercer,Male,74,Grad Degree,NA,Management,406,7289 Jared Terrace,Pensacola,FL,2017
Bryan,Lewis,Male,34,Bach Degree,Married,Management,784,46905 Moore Courts Suite 545,Destin,FL,1997
David,Shelton,Male,63,HS Diploma,Married,Sales,678,94398 Lisa Hills Apt. 778,Pensacola,FL,2007
L,Foster,Male,29,Bach Degree,Married,Technical,489,753 Perry Ferry Apt. 431,Crestview,FL,1988
Richard,Mcclain,Male,67,Some College,Married,Blue Collar,738,71692 Meyers Stravenue Suite 784,Pensacola,FL,1976
Michael,Lindsey,Male,78,Some College,Married,Retired,623,79170 Myers Ports Apt. 440,Gulf breeze,FL,2016
Julie,Walker,Female,50,Some College,Married,Professional,357,44516 Christopher Divide Suite 872,Niceville,FL,1983
Jeffrey,Franklin,Male,57,Bach Degree,Married,Management,766,838 Phillips Lodge Apt. 672,Pensacola,FL,2000
Tighe,Carlson,Male,36,Bach Degree,Married,Management,556,798 Cook Spur Apt. 445,Pensacola,FL,2007
Robert,Brown,Male,38,Some College,Married,Management,341,34392 Leblanc Wall Suite 123,Fort walton beach,FL,2005
Steven,Hammond,Male,50,Some College,Married,Management,418,54531 Bruce Circle Apt. 010,Panama city,FL,1993
Eleanor,Hill,Female,84,HS Diploma,Married,Retired,840,7199 Castillo Shores,Pensacola,FL,1972
Lolita,Estes,Female,58,Some College,NA,Office Administration,684,3565 Padilla Field Apt. 067,Pensacola,FL,2019
Scott,Ramirez,Male,57,HS Diploma,Married,Blue Collar,708,932 Patricia Trail Apt. 718,Navarre,FL,2013
Timothy,Hopkins,Male,46,Some College,Married,Blue Collar,805,30306 Briggs Ridges,Gulf breeze,FL,1990
Alex,Ewing,Male,65,Bach Degree,Married,Retired,592,89356 Davis Ford Apt. 593,Milton,FL,1986
Tanesha,Gregory,Female,33,Some College,NA,Sales,345,03151 Short Light,Pensacola,FL,1983
Ira,Holland,Male,67,HS Diploma,NA,Retired,516,58443 Mann Park Apt. 401,Bonifay,FL,1981
Richard,Carr,Male,63,Grad Degree,Married,Management,438,9570 Forbes Square Suite 642,Shalimar,FL,2007
Shelley,Davila,Female,47,Some College,Single,Office Administration,574,2833 William Park Apt. 170,Niceville,FL,1974
Debra,Thomas,Female,64,Some College,Married,Office Administration,742,3482 Clark Run Apt. 967,Navarre,FL,1995
Jerry,Hodge,Male,77,Some College,Married,Professional,672,78963 David Wells,Cantonment,FL,2009
Robbie,Alvarado,Male,64,HS Diploma,Married,Management,354,857 Aaron Extension Apt. 299,Pensacola,FL,1994
Gerald,Guerrero,Male,74,Some College,Married,Retired,493,468 Michele Summit Suite 826,Crestview,FL,2023
Richard,Alvarez,Male,58,Some College,Married,Blue Collar,701,611 Garza Motorway Apt. 224,Molino,FL,2021
Herbert,Munoz,Male,76,Grad Degree,Married,Professional,683,496 Bailey Wells Apt. 888,Lynn haven,FL,1979
Cody,Hall,Male,25,Less than HS Diploma,Married,Blue Collar,554,90392 Madden Expressway,Pensacola,FL,2013
Roland,Taylor,Male,65,HS Diploma,Married,Other,349,414 Samantha Islands Suite 743,Milton,FL,1989
John,Andersen,Male,25,Some College,Single,Other,806,380 James Harbor Suite 067,Pensacola,FL,2022
